id,hour,lat,lon,mag,depth,nsta,label
00572,22,34.1655,139.3252,4.2,17.8,38,1
00575,04,34.1330,139.3677,4.1,18.3,36,1
00577,09,34.1582,139.3228,4.3,18.5,36,1
00582,10,34.1635,139.3230,3.9,17.4,36,1
00585,11,34.1465,139.3048,4.4,17.7,34,1
00589,17,34.1625,139.3340,4.2,17.3,39,1
00590,04,34.1973,139.2702,4.0,14.7,39,1
00595,16,34.1568,139.3433,4.0,16.2,27,1
00596,16,34.1455,139.3330,3.9,14.0,25,1
00597,19,34.1962,139.2668,4.5,19.3,41,1
00600,21,34.2050,139.2463,4.3,17.7,36,1
00601,21,34.2080,139.2608,4.5,17.7,41,1
00602,21,34.2037,139.2435,4.1,18.1,33,1
00603,21,34.2060,139.2652,4.0,16.1,35,1
00604,21,34.1983,139.2640,4.0,19.6,40,1
00606,21,34.2057,139.2648,4.3,16.6,23,1
00608,22,34.1957,139.2457,4.6,17.6,24,1
00611,22,34.1940,139.2398,4.7,11.5,18,1
00612,22,34.1903,139.2537,4.9,17.3,38,1
00615,23,34.2038,139.2460,4.3,16.2,26,1
00616,23,34.1945,139.2620,4.9,15.4,40,1
00619,23,34.2048,139.2445,4.5,16.5,38,1
00620,23,34.1898,139.2735,4.6,18.9,41,1
00622,01,34.1943,139.2550,4.3,16.9,31,1
00623,02,34.2027,139.3208,3.8,20.6,31,1
00624,02,34.1820,139.2787,4.4,20.1,31,1
00626,03,34.2020,139.2278,3.3,14.1,41,1
00628,05,34.1928,139.2745,4.1,15.4,41,1
00629,07,34.1382,139.2640,3.3,15.1,30,1
00630,08,34.2100,139.2383,4.2,18.2,41,1
00631,09,34.1505,139.2557,4.1,14.2,24,1
00632,11,34.1960,139.1972,3.3,12.0,23,1
00633,16,34.1998,139.2425,4.1,17.1,40,1
00635,20,34.1868,139.2758,4.2,18.6,37,1
00636,21,34.1828,139.2655,4.3,15.9,37,1
00637,18,34.1008,139.5190,5.3,0.0,29,1
00644,02,34.1968,139.2765,4.3,16.6,37,1
00645,03,34.1942,139.2702,4.5,15.6,37,1
00647,04,34.2120,139.2300,3.7,17.2,40,1
00649,04,34.2120,139.2340,4.3,16.9,38,1
00652,06,34.2743,139.0915,3.3,10.0,23,1
00653,06,34.3902,139.2562,2.6,6.0,32,1
00655,06,34.3947,139.2638,3.2,5.6,28,1
00656,08,34.2278,139.1390,2.2,10.7,16,1
00658,21,24.4922,123.7487,3.3,8.9,5,1
00659,01,34.1473,139.2943,4.4,15.4,31,1
00660,01,34.1525,139.2998,4.4,15.8,37,1
00662,03,34.1375,139.3517,4.2,19.5,38,1
00664,14,34.1577,139.2332,3.1,13.9,23,1
00666,18,34.1987,139.1933,4.0,18.3,25,1
00667,19,34.2013,139.1995,4.4,8.9,19,1
00669,19,34.2263,139.2475,4.1,14.3,24,1
00671,19,34.2158,139.2457,4.7,14.6,25,1
00673,20,34.2212,139.2223,4.7,17.0,25,1
00676,20,34.1358,139.2075,4.2,0.7,18,1
00677,20,34.1948,139.2402,0.0,16.4,13,1
00678,20,34.2237,139.2248,4.5,11.2,21,1
00679,21,34.2175,139.2442,4.4,14.0,24,1
00680,21,34.2225,139.2263,4.1,13.5,25,1
00683,22,34.2167,139.2398,4.0,15.1,25,1
00685,23,34.2322,139.2318,4.5,11.0,24,1
00688,01,34.2355,139.2580,3.6,12.5,26,1
00694,12,34.2098,139.3325,4.6,16.2,32,1
00695,12,34.1918,139.2915,4.7,13.9,28,1
00697,14,34.1975,139.2555,4.1,15.2,38,1
00698,14,34.1857,139.2748,4.1,17.5,37,1
00699,14,34.1652,139.2980,3.8,19.1,22,1
00700,14,34.1915,139.2680,4.3,16.6,26,1
00701,14,34.1692,139.3123,4.2,17.2,38,1
00702,14,34.1840,139.2677,4.5,16.2,37,1
00704,15,34.2023,139.3115,4.5,11.4,15,1
00705,15,34.1698,139.2395,0.0,9.9,9,1
00706,15,34.1810,139.2715,4.3,16.2,39,1
00707,16,34.1872,139.3582,4.7,14.4,40,1
00710,17,34.1903,139.2987,4.4,15.8,40,1
00712,18,34.1657,139.3092,4.0,14.8,35,1
00714,19,34.1873,139.2837,4.1,16.1,24,1
00715,20,34.1602,139.3117,4.1,16.9,39,1
00718,23,34.1485,139.3250,4.3,15.0,35,1
00719,00,34.1635,139.3197,4.0,16.6,39,1
00721,01,34.1670,139.3067,4.2,17.8,39,1
00722,01,34.1998,139.2263,4.2,15.7,39,1
00723,05,34.1647,139.2977,4.1,16.4,40,1
00725,05,34.1728,139.3117,4.4,17.4,37,1
00726,05,34.1690,139.3020,3.8,17.0,38,1
00727,06,34.1395,139.3107,4.5,20.9,36,1
00732,16,34.3365,139.2363,4.1,8.6,30,1
00735,00,34.3270,139.2483,4.2,10.6,40,1
00736,07,34.4268,139.2027,4.6,9.6,29,1
00738,15,34.4158,139.1898,3.9,8.5,29,1
00740,20,34.2042,139.2502,3.9,13.8,25,1
00743,03,34.2170,139.2633,4.7,15.5,17,1
00744,03,34.1592,139.3345,3.8,15.4,23,1
00745,04,34.1817,139.2978,4.5,15.7,33,1
00747,05,34.1740,139.2762,4.4,16.7,44,1
00748,05,34.1757,139.2662,4.2,15.9,37,1
00751,06,34.1818,139.2695,4.6,14.7,34,1
00755,07,34.1543,139.3112,4.3,16.6,40,1
00756,08,34.1480,139.2872,4.6,16.6,39,1
00757,09,34.1602,139.3212,4.2,16.4,23,1
00759,10,34.4710,139.2600,3.8,13.6,21,1
00760,11,34.1793,139.3047,3.7,14.5,21,1
00761,11,34.1650,139.3353,4.5,15.2,38,1
00762,12,34.1737,139.2583,4.2,19.1,23,1
00764,14,34.1767,139.3130,4.6,16.4,24,1
00767,05,34.1980,139.2765,3.8,15.7,26,1
00768,09,24.8443,125.3913,4.4,49.6,10,1
00769,19,34.1635,139.1333,3.0,10.2,22,1
00773,20,34.1628,139.3340,4.0,16.9,22,1
00774,02,34.2150,139.2413,4.2,13.8,39,1
00775,08,34.1722,139.3290,4.0,17.3,40,1
00778,17,34.1483,139.3573,4.1,14.9,24,1
00785,22,34.1725,139.2520,4.4,15.7,39,1
00789,02,34.2993,139.1757,2.3,17.9,19,1
00791,06,34.1443,139.3553,3.4,0.0,16,1
00793,09,34.2042,139.2682,3.4,15.2,40,1
00795,09,34.1993,139.2523,4.0,15.7,40,1
00796,10,34.1998,139.2578,3.2,14.8,40,1
00797,10,34.2052,139.2655,4.3,14.2,29,1
00799,11,34.1927,139.2543,4.2,15.9,37,1
00802,11,34.2012,139.2702,4.5,6.1,25,1
00806,11,34.1968,139.2348,3.5,14.6,32,1
00809,12,34.1890,139.2563,4.1,13.4,25,1
00811,12,34.2183,139.2417,4.0,14.7,27,1
00812,12,34.2765,139.2643,3.9,0.1,18,1
00813,12,34.1895,139.3408,4.3,15.4,27,1
00818,14,34.2208,139.2415,3.2,14.1,25,1
00824,06,34.2145,139.2278,4.3,16.8,26,1
00825,14,35.2528,141.3217,5.7,37.1,38,1
00826,16,34.2245,139.2100,4.3,10.6,16,1
00829,20,34.2277,139.2227,3.9,15.9,25,1
00831,01,34.2458,139.2548,3.7,11.6,26,1
00836,10,34.2542,139.2632,4.5,11.4,41,1
00841,12,34.1885,139.3058,4.5,15.3,38,1
00844,03,34.1907,139.2867,4.2,14.2,29,1
00846,04,34.1683,139.2765,4.7,14.7,23,1
00847,04,34.1585,139.2902,4.0,18.3,23,1
00850,05,34.2635,139.2668,3.9,13.2,37,1
00852,05,34.1618,139.2892,3.6,18.8,29,1
00853,05,34.1757,139.3160,3.9,14.6,26,1
00859,06,34.2157,139.2802,3.7,10.5,20,1
00861,07,34.1810,139.2982,3.6,13.5,21,1
00862,07,34.1905,139.1095,3.3,13.8,20,1
00863,07,34.1737,139.3072,3.6,13.5,32,1
00865,08,34.1362,139.2993,3.0,20.0,24,1
00866,08,34.1587,139.3278,4.1,14.4,28,1
00867,08,34.3015,139.1888,4.1,6.3,21,1
00870,18,34.1388,139.3130,4.0,12.9,23,1
00871,18,34.1348,139.2980,4.4,14.7,39,1
00872,22,34.3177,139.1885,3.0,2.5,22,1
00874,23,34.3765,139.2092,3.2,5.9,23,1
00875,23,34.3738,139.2015,2.7,7.2,19,1
00876,02,34.2902,139.1295,3.8,8.3,24,1
00877,02,34.3708,139.2017,3.4,7.7,22,1
00878,04,34.3378,139.1817,3.0,5.4,22,1
00881,14,34.1513,139.3043,3.8,19.1,37,1
00884,20,34.1380,139.3643,4.6,17.7,40,1
00885,22,34.1308,139.3657,4.5,16.3,39,1
00888,04,34.1325,139.3637,4.4,16.3,29,1
